k_h_Mpc,P_delta_delta_z0,P_delta_delta_z0.5,P_delta_delta_z1,P_delta_delta_z2,P_delta_delta_z3,P_delta_delta_z4
0.0018904335413464062,1035.2672013218296,820.6890523408124,665.6648882019589,456.3562540025082,334.58919885783126,259.7765874360084
0.001977884015203725,966.0448104649594,767.9550436161269,624.6990888642293,431.4801438526466,319.231948637517,249.8884328102327
0.0020693799025657267,900.4543965081062,717.616118667833,585.2685672365875,406.96155532436774,303.6047668701882,239.48244383354242
0.0021651083421602205,838.4499262026898,669.716760071386,547.4762950011833,382.9700821191533,287.8782525464876,228.6988758464933
0.002265265129655375,779.9571405676352,624.2674196882738,511.389033462711,359.64451473325676,272.20659313055586,217.6731944848389
0.0023700551181252845,724.882202616312,581.2531482401869,477.0449291219207,337.0949638697906,256.72445090052224,206.531369085038
0.0024796926370408683,673.1140589754489,540.6358883804065,444.45547362933297,315.40358077456716,241.5463200175409,195.38864314480807
0.0025944019306430545,624.531735251428,502.3625124075179,413.61389597162974,294.63068210896364,226.76756905503623,184.34699332089946
0.002714417616594907,579.0049990720255,466.3654852545473,384.49559586297687,274.8142862747783,212.46339845036863,173.49406814356695
0.0028399851658507305,536.3997288710116,432.5688672107619,357.064651924667,255.97689646111928,198.6928578735815,162.90390258995686
0.0029713614047237004,496.5784698785315,400.8889854781345,331.2743332591256,238.12537982469158,185.49790185647623,152.63571339960313
0.0031088150401788603,459.4035717578381,371.23798553905084,307.0711647329883,221.25588943172068,172.90784088168286,142.73657123365174
0.0032526272094259043,424.73822768110944,343.5247935229124,284.39596678666885,205.35466568300814,160.93962912056122,133.24101965992674
0.0034030920549358488,392.4477121148065,317.65694144679867,263.1859349786713,190.40080477483528,149.6007986496474,124.17358079675999
0.0035605173260576544,362.39990246312306,293.54146986274867,243.37563291422816,176.3674715595761,138.89055810136213,115.54951219316216
0.003725225008465347,334.46599651672915,271.0858776484371,224.89811426635617,163.22333466197549,128.80141071173225,107.3763443180483
0.003897551982723012,308.5209573011539,250.19876596288202,207.6857816325682,150.9338847540461,119.32068650472857,99.65535147677022
0.004077850713314673,284.44378084925296,230.7902699376492,191.67091295460375,139.46208817212317,110.43126570086402,92.38225680424303
0.004266489969548346,262.1180048297656,212.77285849704668,176.7866074334032,128.76952050044144,102.11305912662615,85.54879983449855
0.0044638555798087115,241.431486481751,196.06126725342293,162.96681466992595,118.81649681282498,94.34320462705475,79.14291896307014
0.00467035122070116,222.27740731150968,180.5735829873997,150.14746754028155,109.56337365775784,87.09752557714282,73.15035571187843
0.004886399242701199,204.55427668184552,166.23126515855375,138.2665273549782,100.9706326305868,80.35066719696263,67.55478615751622
0.005112441533997996,188.16591012382506,152.9594148764026,127.26441822205847,92.99956759565528,74.0769204286926,62.33878897278502
0.0053489404242988625,173.02110824531005,140.68656817120964,117.08386360593107,85.61220892579142,68.25013592087886,57.48379397352826
0.005596379630443261,159.03382309407098,129.3449918169413,107.67030154120991,78.77188242646608,62.844469915464586,52.97090661601965
0.005855265245760443,146.1240973071521,118.87156465268043,98.97274728871345,72.44399111458395,57.83519145940962,48.7816915088879
0.00612612677519424,134.21710319923957,109.20703948241425,90.9432055040276,66.5956705304166,53.19848680224375,44.898083799886464
0.006409518218312198,123.23758480195369,100.29156287436163,83.53294635035599,61.19310586616042,48.90933370976039,41.30060174037328
0.006706019202414132,113.11036962406062,92.06512417608195,76.69290863994273,56.201880049178804,44.941834162805215,37.96867457401349
0.007016236168057743,103.7729199807365,84.47791249897857,70.38250237826024,51.59379607957195,41.275028635818785,34.88590304616629
0.007340803609425983,95.1791656371645,77.49355361798584,64.57242537196245,47.34916972672376,37.894930171508435,32.041953028767814
0.007680385372073196,87.27702935812309,71.07034785248845,59.22854255407397,43.444096475636336,34.783603078234265,29.422691030754702
0.008035676010704294,79.9905626480323,65.14626256866612,54.29894955030177,39.84024301284691,31.910441725316375,27.002368990545634
0.008407402209764155,73.25305072770898,59.66677194898589,49.73798265003989,36.50379953758031,29.248368529211422,24.758137115824283
0.008796324269742677,67.03116669759301,54.6049421431692,45.52332140646915,33.41862741855653,26.784854336013108,22.6797840610151
0.009203237662235571,61.30074955203977,49.9414445273504,41.63910801139479,30.57350158903438,24.51138732184734,20.760544736328814
0.009628974656941462,56.027276912832995,45.648687938387404,38.06271317276973,27.95222231554974,22.41525820633926,18.9898241930073
0.010074406023922977,51.17253449731973,41.696103707376196,34.76904895184616,25.5367675710687,20.482201689200714,17.35559001492208
0.01054044281461365,46.70343764670311,38.057159514656924,31.736392457037052,23.311859666745935,18.700506486705972,15.848283894336197
0.01102803822521318,42.59133898637496,34.70881736851474,28.945922206784047,21.264540877050088,17.06057896668075,14.460372457303828
0.01153818954628244,38.80804270985124,31.628171431806656,26.378643177462077,19.381196141737266,15.551940190662949,13.183385578409203
0.01207194020252573,35.32474413125975,28.791534545450165,24.014563930206638,17.646841374457008,14.162598335786226,12.007369379302574
0.012630381886932256,32.11559025531064,26.177743536842115,21.835903609933414,16.048193791655265,12.881839248921544,10.923293998443055
0.013214656793641985,29.15747548550974,23.768135872693158,19.827204960409556,14.573881001492044,11.700349755005645,9.9230335546998
0.013825959954102601,26.43009273037171,21.54629628968928,17.974872317094153,13.213942339194565,10.610028656240576,8.99955549355598
0.014465541681295952,23.915940778374964,19.49786344055292,16.26685785472585,11.959548275961192,9.603928937994958,8.147074053232542
0.015134710127033095,21.599410676333477,17.610027081926493,14.6924164975028,10.802849946040944,8.67592553491439,7.36054560121997
0.01583483395754847,19.465146499905067,15.870548048147564,13.241552790979295,9.736712503994468,7.82036349789148,6.635220174423615
0.016567345152865766,17.49883601978927,14.26812493572996,11.905119180130901,8.754654482861062,7.0320708227083895,5.966719445598182
0.017333741935660875,15.686365961098794,12.791202782859108,10.673464994364844,7.849672334222389,6.305588830845858,5.35056685782917
0.018135591835612603,14.014296789864158,11.428512364951052,9.536990353770822,7.014691768561716,5.6354715007687215,4.782375588189022
0.01897453489550864,12.471901476534452,10.171217471467557,8.488238175682408,6.24411130047361,5.017158828141692,4.25824391264709
0.019852287025664266,11.050761979797064,9.012596180223865,7.521632822898544,5.533602037246809,4.446798449207138,3.7745890626194676
0.020770643513514847,9.743315243045691,7.946598792296712,6.632191571305569,4.879477672448417,3.9213188219742787,3.3286978103690705
0.021731482695560158,8.541610726974831,6.96681658327243,5.814684223617086,4.278213675356367,3.438220960800037,2.9186882938349674
0.02273676979917096,7.438904547924379,6.067772789819408,5.064596115694383,3.7266812737605837,2.995211365308532,2.542780625034577
0.023788560962115603,6.428033776438279,5.243542230832978,4.376887696187045,3.2210023092840583,2.5890562364176004,2.1981693610036896
0.024889007438027713,5.5039068489360705,4.489911150289593,3.747965794136295,2.758374797087387,2.217375195735791,1.8827558165582623
0.026040359996416858,4.664959944279865,3.8056637095789365,3.176878218917823,2.338193332624258,1.8797250743169323,1.5961709701149491
0.02724497352622119,3.9102269918187558,3.190091108914343,2.663118073562799,1.9602239575789144,1.5759983854381217,1.3383555431473415
0.028505311852318176,3.2304387950587476,2.6356444387273283,2.200386827549713,1.6198235028184693,1.3024630772490782,1.106154216590725
0.029823952774844585,2.615388335057358,2.133976566542789,1.7816820869152914,1.3117669900582107,1.0548837937812754,0.8959726321125999
0.031203593341632706,2.0733692843127423,1.6918337340600413,1.4126151462339065,1.040154013840575,0.8365409189726268,0.7105863145156046
0.032647055364546956,1.6214480965982265,1.323128023435955,1.1047956454774273,0.8135355909084012,0.6543126431712318,0.5558235272388385
0.03415729119100311,1.2427652799878375,1.014140984114473,0.8468086009168859,0.6235766999348847,0.5015486994293088,0.42607142139724613
0.03573738974247515,0.890100831160885,0.7264191710890583,0.6066210068746545,0.4468132035563459,0.3594723986385176,0.305456944679052
0.03739058283234029,0.5799430042641479,0.47338928199282015,0.39541134903527053,0.2914089680774822,0.23458759514286837,0.19945459934411014
0.0391202517759841,0.3845611503147109,0.3139264779429429,0.2622357848450765,0.1932934596487861,0.15562738967184997,0.13233859406099976
0.04092993430668593,0.28621282340826204,0.23357788888035616,0.19505052651481852,0.1436423882596825,0.1155346140809015,0.09814796637478503
0.04282333181142936,0.1555617411464106,0.12696844543348293,0.10604053480058469,0.07811894840557661,0.06285251353774705,0.0534115718336539
0.044804316901437574,0.03224730488081856,0.026363338381027345,0.022062270663465035,0.01633660902369934,0.013216235743469777,0.011292209551661332
0.04687694133291779,0.004473617708192712,0.003665365933479816,0.00307558965902336,0.0022929577933029966,0.0018686003643219808,0.0016081170205714116
0.049045444294215056,0.0021188948012766397,0.001735895871751748,0.0014563541804682191,0.0010852610064570694,0.0008839794059690372,0.0007603187546118337
0.05131426107632581,0.005451226933276213,0.004453113190054545,0.003722724752690889,0.0027487644609825983,0.002216960517409095,0.0018880607880756844
0.05368803214450458,0.020239176271127743,0.01649239622554977,0.013744960655153059,0.010068735425278572,0.008051641037342851,0.006799009959140964
0.05617161262951858,0.03978942203759554,0.03242216798239452,0.027019559956568233,0.019790132293206412,0.015822371585196084,0.01335894935368111
0.05877008225796296,0.04965392547504306,0.04050002193031259,0.03379231675259239,0.02482817222503466,0.01991593823318461,0.016871476688510956
0.06148875574194695,0.05317033017517988,0.043385810481076426,0.03621836563478398,0.026645289589463734,0.02140254448835612,0.018155258444775092
0.06433319364940195,0.04960568534283904,0.04047199180498787,0.03378056465143946,0.024841761477643984,0.019944904618108855,0.016910520363294938
0.0673092137772441,0.03758586679988262,0.03065964037276616,0.025584443791806234,0.018802742547193874,0.015086543497099772,0.012782647388848248
0.07042290305065342,0.020602985390114226,0.016806673763737734,0.014024726020861517,0.010307149859334667,0.008270459341801793,0.00700776241671109
0.07368062997280773,0.007411399820438471,0.006048008307193056,0.005049082270476593,0.003714688340504192,0.002984331531242323,0.0025318364723314222
0.07708905765053431,0.0030675500519069857,0.0025045430430325213,0.002092164961941051,0.0015416217659237066,0.0012406509692461124,0.0010543740748042772
0.08065515742252201,0.004281311492700448,0.0034962131432273386,0.0029212331180202954,0.0021537937630260132,0.0017343631568954101,0.001474872373391653
0.08438622311796698,0.020854175840728736,0.01702612238031952,0.01422220408509715,0.01047877350748476,0.008431135245006532,0.007163724294101347
0.08828988597481602,0.0885191875747402,0.07225381852863748,0.06033833728601922,0.04442523566626664,0.035714348736234774,0.030320170375412635
0.09237413024812029,0.15374684934991462,0.1254960023680971,0.10480009046292953,0.07715761402066157,0.06202568007032547,0.05265516313560433
0.09664730954042289,0.19139366504876704,0.15623474071319432,0.1304778600366772,0.09607531779206971,0.07724585647594387,0.06558604650322555
0.10111816388758248,0.24434420514781902,0.19946129907103993,0.16657877458565404,0.12265891091426798,0.09862036244687551,0.08373360573068993
0.10579583763497748,0.2794030450959431,0.2280839502808907,0.19048514718436646,0.1402664362453115,0.11277892879494836,0.09575689594678961
0.11068989814065451,0.27412204102107,0.22377857231020706,0.18689488846971766,0.13763122773502992,0.1106658914406738,0.0939689037282783
