ell,TT_total_muK2,EE_total_muK2,BB_total_muK2,TE_total_muK2,TT_unlensed_scalar_muK2,EE_unlensed_scalar_muK2,TE_unlensed_scalar_muK2,cl_phiphi,cl_phit_muK,cl_phie_muK
57,18.205566336137565,0.00013850069910481533,2.2671982260827942e-10,-0.02185245779068952,18.20556581438917,0.00013850062948638238,-0.02185244510904713,4.33398544699309e-17,1.2680827498062104e-08,-1.3998189843154952e-11
58,17.70188688640532,0.00014136997857958167,2.1905826359509036e-10,-0.022125487852237058,17.701886409057206,0.00014136991666684916,-0.022125475350389008,3.903804866415852e-17,1.1750482246194397e-08,-1.332439918007624e-11
59,17.220660726941816,0.00014419672649062168,2.1098296785629798e-10,-0.022389814236921435,17.22066028334913,0.00014419667214328921,-0.02238980193370803,3.522032591191501e-17,1.0900580508093094e-08,-1.270957970220421e-11
60,16.76066915554868,0.00014696140340631576,2.025523363701718e-10,-0.022644895924046896,16.760668735669512,0.00014696135641689253,-0.022644883837442873,3.182547466512756e-17,1.0123294757168744e-08,-1.2175766548727652e-11
61,16.320769971008207,0.00014965291984239847,1.9382544496681446e-10,-0.022890220921060456,16.320769565431807,0.00014965287993922878,-0.02289020906813599,2.8800818056711666e-17,9.411605278641032e-09,-1.1731740364361645e-11
62,15.899684712531304,0.00015228422458459884,1.8486167195023144e-10,-0.023125679311746278,15.89968431250195,0.0001522841914353769,-0.02312566770863428,2.6101508727342452e-17,8.759070481386001e-09,-1.1351514530990493e-11
63,15.496202857744029,0.00015487345768405882,1.757203300593003e-10,-0.023351301862456438,15.496202455180512,0.00015487343089979982,-0.023351290524326274,2.3688726913030914e-17,8.159907181235128e-09,-1.1005505305085464e-11
64,15.109186161348697,0.000157435578297393,1.6646030513214645e-10,-0.023567132794731684,15.10918574885945,0.00015743555743682477,-0.023567121735769306,2.152861049118951e-17,7.608949099570036e-09,-1.0669073064843213e-11
65,14.737617745764721,0.00015998711393086653,1.5713970404979614e-10,-0.023773325520060267,14.737617316658522,0.000159987098505202,-0.023773314753454764,1.9591616906903048e-17,7.101584152167358e-09,-1.0321811411441247e-11
66,14.380621199376217,0.00016253005513583706,1.478155134786987e-10,-0.02397024212113845,14.38062074766861,0.0001625300446138859,-0.02397023165907495,1.7851950786145094e-17,6.6337205610172925e-09,-9.9515680788097e-12
67,14.037486526393913,0.0001650540044954232,1.3854327219943407e-10,-0.024157847937130383,14.037486046809315,0.00016505399830899766,-0.024157837790789255,1.6287255558986976e-17,6.201861349904568e-09,-9.566269276339023e-12
68,13.707569053175533,0.00016754285592470453,1.293767583229796e-10,-0.024336036456724264,13.7075685411452,0.00016754285347427415,-0.024336026636286447,1.4877941771498246e-17,5.802887117387448e-09,-9.176916257997624e-12
