k_h_Mpc,P_delta_delta_z0,P_delta_delta_z0.5,P_delta_delta_z1,P_delta_delta_z2,P_delta_delta_z3,P_delta_delta_z4
0.004886399242701199,17169.28376630695,10454.709012277952,6609.823406138093,3160.0106444138623,1813.2980779806971,1169.4098782764802
0.005112441533997996,17677.822699991964,10764.460420141031,6805.721380980118,3253.723304290337,1867.1038278159538,1204.1289477373098
0.0053489404242988625,18188.861498701015,11075.744156380593,7002.595239024447,3347.908646592372,1921.1842252387498,1239.0271832153276
0.005596379630443261,18701.076057876875,11387.754683797295,7199.935842059522,3442.323253626219,1975.399633959385,1274.0144700944293
0.005855265245760443,19212.7415244367,11699.441795952593,7397.078570402326,3536.648706799576,2029.5665341123356,1308.9718526174431
0.00612612677519424,19722.287029192063,12009.848767653524,7593.4183591939345,3630.595631466182,2083.5186294260543,1343.7919183068009
0.006409518218312198,20228.42966149908,12318.193874309021,7788.461515147769,3723.9287903688664,2137.1215653740032,1378.3885302854715
0.006706019202414132,20729.661295387035,12623.55856037278,7981.627572477988,3816.3710753287414,2190.2167833632025,1412.659697271408
0.007016236168057743,21223.962104649545,12924.713596964215,8172.138874924843,3907.5499771105274,2242.5903488566646,1446.4669663919206
0.007340803609425983,21709.23587719111,13220.383379296947,8359.188496509314,3997.079083660594,2294.0201940537545,1479.6666193137328
0.007680385372073196,22183.640986977014,13509.447370437723,8542.068476479832,4084.620638893965,2344.312026669805,1512.1333689592648
0.008035676010704294,22645.316535229293,13790.7731821479,8720.06358454517,4169.833747794798,2393.2698273085816,1543.7409684560985
0.008407402209764155,23091.982545761977,14062.972301660027,8892.296440089993,4252.299661899272,2440.6539815343053,1574.3351648906748
0.008796324269742677,23521.127624211305,14324.514773365308,9057.800079785964,4331.556576193743,2486.2006203091746,1603.7461031884168
0.009203237662235571,23930.128469903204,14573.802272098112,9215.563793580644,4407.120868893688,2529.6322302286494,1631.7948946670904
0.009628974656941462,24316.27440018173,14809.18306407104,9364.542659932542,4478.491816197504,2570.6605626622977,1658.2955256387504
0.010074406023922977,24676.739735225718,15028.935897447307,9503.647700283187,4545.147821066423,2608.985473443707,1683.0540364018243
0.01054044281461365,25008.579568010355,15231.26763355369,9631.744394302897,4606.545831264417,2644.294677072976,1705.8682901852512
0.01102803822521318,25308.798960362747,15414.353844731233,9747.67880357656,4662.133567802646,2676.270732155941,1726.5330016857267
0.01153818954628244,25574.32766664789,15576.322443440009,9850.267781186385,4711.344962134326,2704.5886253021363,1744.8384961242145
0.01207194020252573,25802.067670092758,15715.28516880064,9938.317684653477,4753.608761235769,2728.9203854243933,1760.5732502141943
0.012630381886932256,25988.73255121682,15829.243250128131,10010.563643403792,4788.319119571643,2748.9181451264003,1773.5129024886871
0.013214656793641985,26131.07107507709,15916.219262115901,10065.753804071277,4814.876238880428,2764.2374229721277,1783.435227247852
0.013825959954102601,26225.837842941826,15974.2321273085,10102.633597861724,4832.679162119306,2774.532716636412,1790.1170775177454
0.014465541681295952,26269.919696542263,16001.378555089355,10119.99745642547,4841.150313881764,2779.47175375944,1793.3436949298487
0.015134710127033095,26260.27283654918,15995.803620744417,10116.671148011515,4839.726290532946,2778.730178924491,1792.905135591853
0.01583483395754847,26194.03263030709,15955.765739280505,10091.552596983112,4827.87763004693,2772.0029783900213,1788.6037462010472
0.016567345152865766,26068.6114537625,15879.687674165983,10043.64279215678,4805.125090435205,2759.014477521577,1780.2614579488386
0.017333741935660875,25881.744916426946,15766.183843468274,9972.06291973081,4771.048044443177,2739.5232604226057,1767.7230816228118
0.018135591835612603,25631.63610842577,15614.155085581855,9876.115371473506,4725.311820143432,2713.3367494411223,1750.8643903406198
0.01897453489550864,25316.988138396406,15422.810853148983,9755.298060580411,4667.673800118677,2680.314179010921,1729.5934413381597
0.019852287025664266,24937.160398241587,15191.759642865198,9609.361362098725,4598.012257810923,2640.3844372088474,1703.863422305321
0.020770643513514847,24492.3158862672,14921.095829950773,9438.363186394296,4516.353571364193,2593.5626473986845,1673.6842112413804
0.021731482695560158,23983.414481734326,14611.398784402565,9242.668157599428,4422.871072427774,2539.9483913036684,1639.1202828062192
0.02273676979917096,23412.567121820884,14263.950794224176,9023.084892670493,4317.950438039398,2479.7621664663397,1600.3134241637367
0.023788560962115603,22782.79261030599,13880.587989145752,8780.772299865223,4202.144945033191,2413.3204542166095,1557.4671721153072
0.024889007438027713,22098.53316889915,13464.013950429906,8517.439052919372,4076.2706285344607,2341.0913701801933,1510.8834319257842
0.026040359996416858,21365.28050943735,13017.571945541564,8235.19919636996,3941.3374411436535,2263.6548761541476,1460.9366081624132
