ell,TT_total_muK2,EE_total_muK2,BB_total_muK2,TE_total_muK2,TT_unlensed_scalar_muK2,EE_unlensed_scalar_muK2,TE_unlensed_scalar_muK2,cl_phiphi,cl_phit_muK,cl_phie_muK
113,1.6272298583651592,0.00045827523185396865,1.4135979770163612e-06,-0.015853045487301,1.6261143885111622,0.0004572783880041038,-0.01586733564583488,3.004513127554075e-15,1.3396546778411444e-09,-4.244724271245798e-12
114,1.616203106440985,0.0004560083350720161,1.4137795160592774e-06,-0.015885501299287043,1.6151097790311078,0.0004550155461697343,-0.01590035578715458,2.880585917767499e-15,1.2903393653231053e-09,-4.17405293261411e-12
115,1.6053744486832504,0.0004536073364411063,1.4139849224715668e-06,-0.01591141999854461,1.604303365102975,0.00045261810907985014,-0.015926840058932443,2.7626356588567708e-15,1.2431541998367514e-09,-4.1153008858865775e-12
116,1.5947380987136974,0.0004510731456027981,1.4142201268498522e-06,-0.015930873594028432,1.59368935298614,0.0004500869663189506,-0.01594686006774092,2.650332614536556e-15,1.1979987885342502e-09,-4.066238831068081e-12
117,1.5842851098189172,0.00044840334684300136,1.414490989610239e-06,-0.015943901117732456,1.5832587887844995,0.00044741968346681467,-0.015960454439540486,2.5433664004816733e-15,1.154777985718407e-09,-4.024833702036418e-12
118,1.5740036487284323,0.0004456057725352734,1.4148032659159383e-06,-0.015950544532511494,1.5729998322577705,0.000444624075616409,-0.015967664727812556,2.441446224420332e-15,1.113401328130722e-09,-3.9892320545117e-12
119,1.563889054053681,0.00044268131002616414,1.4151625711902219e-06,-0.015950913803025848,1.5629078152900449,0.00044170101432500626,-0.015968600484830755,2.3443008622211196e-15,1.0737838092842152e-09,-3.957749418356338e-12
120,1.5539336165068545,0.0004396341079869563,1.4155743473246648e-06,-0.015945052640739858,1.5529750221344247,0.0004386546340222037,-0.01596330500700071,2.2516734040816136e-15,1.035844500670781e-09,-3.928853238634053e-12
121,1.5441299967557247,0.00043646498424501157,1.4160438298838473e-06,-0.015933007020880022,1.543194107289797,0.00043548573988765217,-0.015951823852173277,2.163323602107979e-15,9.99506706114588e-10,-3.9011521097480176e-12
122,1.5344680952519274,0.0004331779115799147,1.4165760165435044e-06,-0.015914887147223295,1.5335549653471587,0.0004321982936832993,-0.01593426680480057,2.079026121135139e-15,9.646980519165899e-10,-3.87338592129106e-12
123,1.5249444649299524,0.0004297767019100162,1.4171756367910005e-06,-0.015890739805643508,1.5240541437027142,0.0004287960979652326,-0.01591068022986188,1.998567602677967e-15,9.313493165868333e-10,-3.8444118596683896e-12
124,1.5155527583921982,0.00042626200269593886,1.4178471233290102e-06,-0.01586061351975257,1.5146852897531184,0.00042527979250167234,-0.015881112228894607,1.92174897846255e-15,8.993951583780277e-10,-3.813198579930418e-12
125,1.5062839624456252,0.0004226404333521523,1.4185945853610334e-06,-0.015824617621995364,1.5054393854384314,0.0004216559906880281,-0.015845671711488003,1.8483815051023855e-15,8.68773751287701e-10,-3.778816954264416e-12
126,1.4971353661426927,0.00041891244712388784,1.4194217837632422e-06,-0.015782829902836592,1.4963137152855375,0.0004179251414160277,-0.015804436044876278,1.778287922306239e-15,8.394257697803174e-10,-3.7404284372934395e-12
127,1.488098594817501,0.00041508428924182263,1.42033210853358e-06,-0.01573529894060178,1.4872999004430485,0.0004140934872095652,-0.015757453384192027,1.7113020518691377e-15,8.112955558341708e-10,-3.6972834368383445e-12
128,1.4791685323615373,0.0004111562406759282,1.4213285584914431e-06,-0.015682131071456603,1.4783928209521988,0.00041016130794856333,-0.015704829642862256,1.6472660493891536e-15,7.843297272602377e-10,-3.64870912932177e-12
129,1.470343080540598,0.0004071342020620262,1.4224137235713466e-06,-0.015623402393618483,1.4695903750554695,0.0004061345047547708,-0.015646640497239492,1.5860316902492607e-15,7.584777275999051e-10,-3.5941062476935957e-12
