a,z,n_a,E_tip,rho_de_eff_over_rhoc0,w_eff_ppf
0.00013876647909813084,7205.351321293053,1.8705898935360337e-40,1150059.361731552,1043087641036.3766,0.29584699243919954
0.00014200531816536816,7040.9897854492965,2.444843863210627e-40,1099637.0595894486,953628057407.2546,0.29507249500439525
0.00014531975242368953,6880.376986415671,3.195388543546406e-40,1051453.867188598,871888059169.9446,0.2942841081841532
0.00014871154628089538,6723.42742348425,4.176343568549604e-40,1005409.6098097163,797198271627.3239,0.2934816704844252
0.0001521825053264387,6570.057546036271,5.458442804331929e-40,961408.612062713,728947583844.3313,0.2926650222157907
0.0001557344772926135,6420.185709064758,7.1341347662425006e-40,919359.4954008616,666578062191.9458,0.29183400568073625
0.00015936935303817744,6273.732129711581,9.32424881735821e-40,879174.9847567012,609580308961.2173,0.2909884653663919
0.00016308906755493327,6130.618844795775,1.2186707828873646e-39,840771.7238885255,557489227034.3923,0.2901282481420442
0.0001668956009978023,5990.769669310625,1.592791554745385e-39,804070.0990448875,509880155024.5624,0.28925320346240824
0.00017079097973894268,5854.110155867244,2.081763978010079e-39,768994.0705721696,466365340418.6382,0.28836318357601454
0.00017477727744646807,5720.567555063252,2.720846458049622e-39,735471.0121072807,426590721107.6301,0.28745804373837314
0.0001788566161883462,5590.070776755293,3.556121407844521e-39,703431.5570135688,390232988286.8248,0.286537642429342
0.0001830311675620613,5462.5503522148765,4.647818119216858e-39,672809.4517335359,356996906079.0089,0.2856018415764463
0.00018730315385064383,5337.938397147351,6.074655725102026e-39,643541.4157466062,326612865396.0763,0.2846505067822136
0.0001916748492056815,5216.168575554349,7.939519411472175e-39,615567.0078342857,298834651526.72064,0.283683507555035
0.00019614858085794293,5097.1760644204305,1.0376879174347715e-38,588828.4983684376,273437406736.99496,0.2827007175457841
0.00020072673035625684,4980.897519205165,1.3562486067282836e-38,563270.7473512498,250215770811.6866,0.2817020147870153
0.00020541173483530642,4867.271040122284,1.7726045108046975e-38,538841.0879476817,228982183961.4449,0.2806872819359494
0.00021020608831301584,4756.236139187889,2.3167778651621999e-38,515489.215262859,209565337886.18503,0.2796564065217051
